Date,Est. earnings (USD),Observed eCPM (USD),Requests,Match rate (%) (%),Matched requests,Show rate (%) (%),Impressions,CTR (%) (%),Clicks,Bid requests,Bids in auction (%),Bids in auction,Winning bids (%),Winning bids
2021-01-26,$0.25,10.08,309,100.00%,309,8.09%,25,4.00%,1,0,,0,,0
2021-01-27,$0.36,10.51,268,98.88%,265,12.83%,34,11.76%,4,0,,0,,0
2021-01-28,$0.16,6.12,337,85.76%,289,9.00%,26,3.85%,1,0,,0,,0
2021-01-29,$0.04,5.42,185,100.00%,185,4.32%,8,0.00%,0,0,,0,,0
2021-01-30,$0.05,3.48,174,100.00%,174,8.62%,15,13.33%,2,0,,0,,0
2021-01-31,$0.09,4.28,217,100.00%,217,9.68%,21,4.76%,1,0,,0,,0
2021-02-01,$0.63,16.52,297,98.99%,294,12.93%,38,5.26%,2,0,,0,,0
2021-02-02,$0.70,20.13,352,96.59%,340,10.29%,35,2.86%,1,0,,0,,0
2021-02-03,$0.16,7.6,402,95.27%,383,5.48%,21,23.81%,5,0,,0,,0
2021-02-04,$0.09,13.02,354,77.97%,276,2.54%,7,0.00%,0,0,,0,,0
2021-02-05,$0.11,9.9,201,100.00%,201,5.47%,11,0.00%,0,0,,0,,0
2021-02-06,$0.31,13.01,195,100.00%,195,12.31%,24,25.00%,6,0,,0,,0
2021-02-07,$0.02,3.87,201,100.00%,201,2.99%,6,0.00%,0,0,,0,,0
2021-02-08,$0.19,9.64,279,99.28%,277,7.22%,20,5.00%,1,0,,0,,0
2021-02-09,$0.32,11.29,259,100.00%,259,10.81%,28,25.00%,7,0,,0,,0
2021-02-10,$0.14,4.29,270,99.26%,268,12.31%,33,0.00%,0,0,,0,,0
2021-02-11,$0.24,8.07,333,100.00%,333,9.01%,30,0.00%,0,0,,0,,0
2021-02-12,$0.29,8.96,306,100.00%,306,10.46%,32,3.12%,1,0,,0,,0
2021-02-13,$0.20,3.77,420,99.05%,416,12.74%,53,0.00%,0,0,,0,,0
2021-02-14,$0.22,4.87,329,100.00%,329,13.98%,46,6.52%,3,0,,0,,0
2021-02-15,$0.07,2.44,242,100.00%,242,11.16%,27,0.00%,0,0,,0,,0
2021-02-16,$0.16,4.11,597,53.94%,322,11.80%,38,0.00%,0,0,,0,,0
2021-02-17,$0.14,4.11,355,99.44%,353,9.63%,34,2.94%,1,0,,0,,0
2021-02-18,$0.14,7.14,282,100.00%,282,7.09%,20,0.00%,0,0,,0,,0
2021-02-19,$0.25,5.85,361,99.17%,358,11.73%,42,0.00%,0,0,,0,,0
2021-02-20,$0.09,2.12,387,99.74%,386,11.14%,43,2.33%,1,0,,0,,0
2021-02-21,$0.41,13.07,350,100.00%,350,8.86%,31,12.90%,4,0,,0,,0
2021-02-22,$0.28,12.2,331,99.70%,330,6.97%,23,8.70%,2,0,,0,,0
2021-02-23,$0.09,2.11,387,100.00%,387,11.11%,43,2.33%,1,0,,0,,0
2021-02-24,$1.11,14.47,370,100.00%,370,20.81%,77,0.00%,0,0,,0,,0
2021-02-25,$0.37,4.86,395,100.00%,395,19.24%,76,1.32%,1,0,,0,,0
2021-02-26,$0.45,8.91,348,98.28%,342,14.62%,50,0.00%,0,0,,0,,0
2021-02-27,$0.08,1.16,464,99.78%,463,15.77%,73,2.74%,2,0,,0,,0
2021-02-28,$0.73,9.76,441,100.00%,441,17.01%,75,0.00%,0,0,,0,,0
2021-03-01,$0.30,4.92,385,97.40%,375,16.00%,60,0.00%,0,0,,0,,0
2021-03-02,$0.13,2.84,461,100.00%,461,9.54%,44,2.27%,1,0,,0,,0
2021-03-03,$0.58,4.69,546,98.90%,540,22.96%,124,5.65%,7,0,,0,,0
2021-03-04,$0.18,1.45,465,100.00%,465,26.67%,124,0.00%,0,0,,0,,0
2021-03-05,$0.26,2.49,1307,39.17%,512,20.70%,106,1.89%,2,0,,0,,0
2021-03-06,$0.22,4.21,453,100.00%,453,11.70%,53,1.89%,1,0,,0,,0
2021-03-07,$0.23,2.67,535,100.00%,535,15.89%,85,1.18%,1,0,,0,,0
2021-03-08,$1.44,7.36,666,97.15%,647,30.29%,196,1.53%,3,0,,0,,0
2021-03-09,$0.19,1.11,824,76.46%,630,27.46%,173,0.58%,1,0,,0,,0
2021-03-10,$0.25,2.23,542,98.52%,534,20.97%,112,0.89%,1,0,,0,,0
2021-03-11,$0.59,7.17,444,100.00%,444,18.47%,82,2.44%,2,0,,0,,0
2021-03-12,$0.39,5.33,526,100.00%,526,13.88%,73,1.37%,1,0,,0,,0
2021-03-13,$0.49,4.73,553,99.82%,552,18.84%,104,0.00%,0,0,,0,,0
2021-03-14,$0.18,4.13,393,99.75%,392,11.22%,44,0.00%,0,0,,0,,0
2021-03-15,$0.25,6.9,368,100.00%,368,9.78%,36,0.00%,0,0,,0,,0
2021-03-16,$0.62,8.86,426,98.83%,421,16.63%,70,2.86%,2,0,,0,,0
2021-03-17,$0.16,2.18,391,100.00%,391,18.41%,72,4.17%,3,0,,0,,0
2021-03-18,$0.44,8.87,466,100.00%,466,10.73%,50,14.00%,7,0,,0,,0
2021-03-19,$0.22,2.17,593,97.47%,578,17.30%,100,0.00%,0,0,,0,,0
2021-03-20,$0.15,2.03,398,100.00%,398,18.34%,73,0.00%,0,0,,0,,0
2021-03-21,$0.43,7.07,413,100.00%,413,14.77%,61,0.00%,0,0,,0,,0
2021-03-22,$0.41,4.37,483,98.55%,476,19.75%,94,0.00%,0,0,,0,,0
2021-03-23,$1.01,8.82,543,100.00%,543,21.18%,115,1.74%,2,0,,0,,0
2021-03-24,$0.56,3.42,636,99.37%,632,25.95%,164,1.83%,3,0,,0,,0
2021-03-25,$0.30,2.72,571,100.00%,571,19.44%,111,1.80%,2,0,,0,,0
2021-03-26,$0.46,8.31,477,100.00%,477,11.53%,55,7.27%,4,0,,0,,0
2021-03-27,$0.53,6.23,522,99.23%,518,16.41%,85,8.24%,7,0,,0,,0
